"","new_pcon","con","lab","ld","grn","brx","pc","snp","other","total_votes","con_pct","lab_pct","ld_pct","grn_pct","brx_pct","pc_pct","snp_pct","other_pct","winning_pct","winner"
"21","Barking BC",10915.0185901356,25152.3726762573,1373.62351532069,752.321401254326,2760.87408766314,0,0,0,40954.210270631,0.266517618530735,0.614158410333077,0.0335404713274556,0.0183698182990926,0.0674136815096399,0,0,0,0.614158410333077,"Lab"
"22","Barnsley North CC",9720.95070514153,16652.9888684331,1307.3696979075,1017.54413402431,13088.2959837034,0,0,814.978900852939,42602.1282900628,0.228179931269044,0.390895702558539,0.0306878963653197,0.0238848192535409,0.30722164617199,0,0,0.019130004381566,0.390895702558539,"Lab"
"23","Barnsley South CC",11031.0418691178,16831.0502243946,1321.57550862184,792.513331946345,11563.7609099487,0,0,457.011227877425,41996.9530719067,0.262662909145589,0.400768365161555,0.0314683664397999,0.018870734040858,0.275347616055606,0,0,0.0108820091565913,0.400768365161555,"Lab"
"24","Barrow and Furness CC",27814.7035570471,19735.0552929691,2212.36114483911,791.085646764744,1355,0,0,0,51908.20564162,0.535844058048989,0.380191436961279,0.0426206438364195,0.0152400884790063,0.0261037726743065,0,0,0,0.535844058048989,"Con"
"25","Basildon and Billericay BC",31033.9056414249,10478.8861469834,3887.3907590596,1395,0,0,0,435.042628317733,47230.2251757856,0.657077232342639,0.221868223324834,0.0823072671068402,0.0295361708483914,0,0,0,0.00921110637729448,0.657077232342639,"Con"
"26","Basingstoke BC",28147.0473472711,13859.4820256916,6563.40278305567,2021.37295099403,0,0,0,617.796864865104,51209.1019718775,0.549649305756789,0.270644894989622,0.128168675690897,0.0394729232335319,0,0,0,0.0120642003291598,0.549649305756789,"Con"
"27","Bassetlaw CC",26296.2235942903,13747.4629096543,2784.86253741149,0,5271.58335881697,0,0,0,48100.132400173,0.546697530383423,0.285809252982531,0.0578971906821918,0,0.109596025951854,0,0,0,0.546697530383423,"Con"
"28","Bath CC",18206.6553675773,7403.19947631167,31019.9402895932,130.818032607283,642,0,0,374.89999390202,57777.5131599915,0.315116632264205,0.128132885467249,0.536886040832114,0.00226416862638298,0.0111115893517646,0,0,0.00648868345828394,0.536886040832114,"LD"
"29","Bathgate and Linlithgow",10406.0358170879,8505.23655375233,3569.05076315379,933.164305923774,908.43605000157,0,20249.9509123749,430.966804552499,45002.8412068468,0.231230640955725,0.188993324102798,0.0793072318867457,0.0207356753684654,0.0201861932633569,0,0.449970498958054,0.00957643546485531,0.449970498958054,"SNP"
"30","Battersea BC",19278.483386069,24884.3549341102,8246.64918324979,1390.75553956509,359.918149025628,0,0,0,54160.1611920197,0.355953212873924,0.459458657183185,0.152264118158956,0.0256785709081311,0.00664544087580486,0,0,0,0.459458657183185,"Lab"
"31","Beaconsfield CC",29861.1295664315,5426.72897599136,0,1887.22752824714,0,0,0,15553.7116274347,52728.7976981046,0.566315388744485,0.102917745385771,0,0.0357912110769591,0,0,0,0.294975654792785,0.566315388744485,"Con"
